property,city,area,category,rating,price
استراحه بمجلس رئيسي و مسطحات خضراء, الرياض - الدرعية, مساحة الوحدة 1800 م2, مخصص لل عوائل و عزاب,9.1,500
منتجع بمسبح والعاب اطفال, الرياض - الدرعية, مساحة الوحدة 900 م2, مخصص لل عوائل و عزاب,9.1,"1,760"
استراحة بركن شواء وجلسات خارجيه, الرياض - حي الرمال, مساحة الوحدة 750 م2, مخصص لل عوائل فقط,9,900
مزرعة بالقرب من رياض سفاري, الرياض - تبراك, مساحة الوحدة 50000 م2, مخصص لل عوائل و عزاب,0,500
فيلابإطلالة على الحديقة الخارجية, الرياض - حي الروضة, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,0,"2,500"
استراحة مناسبة للمناسبات الخاصة , الرياض - العمارية, مساحة الوحدة 4000 م2, مخصص لل عوائل و عزاب,0,"5,000"
شاليه بخيمة ومسطح اخضر , الرياض - حي النرجس, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,0,"2,000"
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,0,540
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 4000 م2, مخصص لل عوائل فقط,0,"1,500"
مخيم ببيت شعر وجلسة خارجية , الرياض - حي الثمامة, مساحة الوحدة 3500 م2, مخصص لل عوائل فقط,0,"1,500"
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 1000 م2, مخصص لل عوائل و عزاب,0,900
شاليه بغرفة جلوس وجلسة خارجية , الرياض - العمارية, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,0,874
شاليه بمسبح ومسطح اخضر , الرياض - العمارية, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,0,874
مخيم بألعاب أطفال وبيت شعر , المزاحمية - حي العليا, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,0,800
