area,rating,price,pool,garden,outdoor,play_area,family,single,property_type_apartment,property_type_camp,property_type_chalet,property_type_farm,property_type_resort
500,7.9,632,0,1,1,0,1,0,0,0,1,0,0
500,7.9,792,1,1,0,0,0,0,0,0,1,0,0
600,7.9,700,1,1,0,0,1,0,0,0,1,0,0
450,8.7,700,0,1,1,0,0,0,0,0,1,0,0
2000,8.8,1500,0,1,1,0,1,0,0,0,1,0,0
550,8.6,900,1,0,1,0,1,0,0,0,1,0,0
1400,8.9,850,0,0,0,0,0,0,0,0,1,0,0
420,7.8,550,1,1,1,0,0,0,0,0,1,0,0
300,7.9,900,0,0,1,1,1,0,0,0,1,0,0
600,8.9,2500,0,0,1,0,0,0,0,0,1,0,0
450,8.5,550,0,0,0,1,0,0,0,0,1,0,0
400,8.8,600,0,0,1,0,1,0,0,0,1,0,0
250,8.8,500,0,1,0,1,1,0,0,0,1,0,0
1000,8.8,800,0,0,0,1,0,0,0,0,1,0,0
2000,7.6,1000,0,0,0,0,0,0,0,0,0,1,0
300,8.2,500,1,0,1,0,1,0,0,0,1,0,0
320,7.9,500,1,0,1,0,1,0,0,0,1,0,0
170,8.6,300,1,0,1,0,0,0,0,0,1,0,0
10000,8.8,1350,1,0,0,1,0,0,0,0,1,0,0
420,9.0,500,1,0,1,0,1,0,0,0,1,0,0
3000,8.9,1000,0,0,0,1,0,0,0,1,0,0,0
1250,8.1,299,1,0,0,1,0,0,0,0,1,0,0
2500,8.9,855,0,0,0,1,0,0,0,0,0,1,0
450,8.8,2000,0,0,1,0,0,0,0,0,1,0,0
600,8.0,300,0,1,0,1,0,0,0,0,1,0,0
450,8.5,500,1,0,0,0,0,0,0,0,1,0,0
600,8.5,500,1,0,1,0,0,0,0,0,1,0,0
2000,8.9,999,1,1,0,0,0,0,0,0,0,1,0
600,8.5,500,1,0,1,0,0,0,0,0,1,0,0
312,9.2,406,1,0,0,0,0,0,0,0,1,0,0
400,8.6,600,1,0,1,0,0,0,0,0,1,0,0
450,9.8,650,1,0,1,0,0,0,0,0,1,0,0
5000,0.0,700,0,0,1,0,0,0,0,1,0,0,0
80,0.0,500,0,1,1,0,0,0,0,0,1,0,0
